X,Y,OBJECTID,SEGMENT,POINT,LATDD,LONDD,SEGPTID
-13526921.5265,4801858.9325,1,19574,1,39.5575829,-121.5143903,195741
-13526977.2754,4802475.7977,2,19574,2,39.5618551,-121.5148911,195742
-13527224.0042,4803310.5368,3,19574,3,39.5676358,-121.5171075,195743
-13527885.2754,4804690.9463,4,19574,4,39.5771943,-121.5230478,195744
-13526167.4922,4796486.9145,5,19610,1,39.520367,-121.5076167,196101
-13526046.9441,4795830.6778,6,19610,2,39.5158194,-121.5065338,196102
-13525644.6577,4795188.5233,7,19610,3,39.5113691,-121.50292,196103
-13451788.0026,4662974.5012,8,22222,1,38.5890322,-120.8394546,222221
-13451218.9038,4663380.9557,9,22222,2,38.5918861,-120.8343423,222222
-13451097.0757,4664024.2889,10,22222,3,38.596403,-120.8332479,222223
-13489507.8933,4764997.1443,11,25658,1,39.3018132,-121.178298,256581
-13488360.7459,4765844.5127,12,25658,2,39.3077033,-121.167993,256582
-13486944.8617,4765170.7817,13,25658,3,39.3030202,-121.1552739,256583
-13491335.8117,4728081.3598,14,25830,1,39.0447288,-121.1947185,258301
-13490692.6633,4728869.5165,15,25830,2,39.0502274,-121.188941,258302
-13489650.6125,4728748.7794,16,25830,3,39.0493851,-121.1795801,258303
-13488735.7552,4728797.2291,17,25830,4,39.0497231,-121.1713618,258304
-13477442.7811,4731678.8909,18,25834,1,39.0698236,-121.0699153,258341
-13475884.1854,4732257.3148,19,25834,2,39.0738576,-121.0559142,258342
-13475104.8823,4732654.2438,20,25834,3,39.0766257,-121.0489136,258343
-13484160.8809,4742888.0036,21,26005,1,39.1479563,-121.130265,260051
-13483677.7765,4742420.6128,22,26005,2,39.1447001,-121.1259252,260052
-13483240.6582,4741847.7647,23,26005,3,39.140709,-121.1219985,260053
-13482600.4932,4741141.7499,24,26005,4,39.1357898,-121.1162478,260054
-13481897.0292,4716480.7997,25,26011,1,38.9637476,-121.1099285,260111
-13481547.0962,4715336.5218,26,26011,2,38.9557546,-121.106785,260112
-13480973.8119,4714458.8234,27,26011,3,38.9496231,-121.1016351,260113
-13461780.9494,4728225.1548,28,26065,1,39.045732,-120.9292227,260651
-13462387.6743,4728856.4464,29,26065,2,39.0501362,-120.934673,260652
-13462521.4358,4729535.4424,30,26065,3,39.0548729,-120.9358746,260653
-13462955.5708,4730105.2995,31,26065,4,39.058848,-120.9397745,260654
-13463687.6972,4730942.819,32,26065,5,39.0646898,-120.9463513,260655
-13468592.2108,4718603.8055,33,26196,1,38.9785748,-120.9904093,261961
-13468059.5358,4719076.2414,34,26196,2,38.9818739,-120.9856242,261962
-13467918.0156,4719798.3916,35,26196,3,38.9869165,-120.9843529,261963
-13446284.5346,4678727.1059,36,26649,1,38.6995553,-120.7900161,266491
-13445673.6353,4678005.5843,37,26649,2,38.6944967,-120.7845283,266492
-13443250.3429,4676424.2089,38,26649,3,38.6834084,-120.7627595,266493
-13441222.3688,4676794.4771,39,26649,4,38.6860048,-120.7445419,266494
-13440797.1951,4677313.1797,40,26649,5,38.6896419,-120.7407225,266495
-13460569.3,4693535.4495,41,26778,1,38.8032978,-120.9183383,267781
-13459332.5737,4693530.0928,42,26778,2,38.8032603,-120.9072286,267782
-13458524.0157,4694222.8297,43,26778,3,38.8081097,-120.8999652,267783
-13477977.2445,4691720.2904,44,26781,1,38.7905895,-121.0747165,267811
-13478029.1971,4692877.2384,45,26781,2,38.7986898,-121.0751832,267812
-13478096.078,4693556.1461,46,26781,3,38.8034427,-121.075784,267813
-13478033.973,4694317.0838,47,26781,4,38.8087695,-121.0752261,267814
-13439349.664,4687490.5249,48,26805,1,38.7609672,-120.7277191,268051
-13438467.657,4687243.9379,49,26805,2,38.7592399,-120.7197959,268052
-13437476.9579,4687197.9848,50,26805,3,38.758918,-120.7108963,268053
-13436482.0844,4687318.2147,51,26805,4,38.7597602,-120.7019592,268054
-13435575.5873,4686818.1458,52,26805,5,38.7562572,-120.693816,268055
-13461601.1974,4681646.6461,53,26831,1,38.7200206,-120.927608,268311
-13460771.1434,4681382.5941,54,26831,2,38.7181699,-120.9201515,268312
-13459641.3061,4680702.9709,55,26831,3,38.7134063,-120.910002,268313
-13415715.0875,4594551.0634,56,35902,1,38.1069856,-120.5154062,359021
-13414855.7678,4595178.7141,57,35902,2,38.111422,-120.5076868,359022
-13413381.3633,4596894.1241,58,35902,3,38.1235456,-120.494442,359023
-13411353.4002,4598320.5528,59,35902,4,38.1336253,-120.4762245,359024
-13414440.1339,4592517.3614,60,35907,1,38.092609,-120.5039531,359071
-13414379.2308,4593286.7814,61,35907,2,38.0980485,-120.503406,359072
-13413925.3812,4594104.0749,62,35907,3,38.103826,-120.499329,359073
-13413201.0254,4594645.1721,63,35907,4,38.1076508,-120.492822,359074
-13412423.5142,4594971.5164,64,35907,5,38.1099575,-120.4858375,359075
-13429698.8775,4600571.8185,65,36714,1,38.1495308,-120.6410247,367141
-13429921.0271,4601284.1364,66,36714,2,38.1545627,-120.6430203,367142
-13430329.4916,4601795.2285,67,36714,3,38.1581729,-120.6466896,367143
-13430781.5381,4602662.5653,68,36714,4,38.1642991,-120.6507504,367144
-13430344.4208,4612680.1397,69,36717,1,38.2350182,-120.6468237,367171
-13430269.1799,4613302.0481,70,36717,2,38.2394063,-120.6461478,367172
-13430144.9698,4614837.2162,71,36717,3,38.2502371,-120.645032,367173
-13428841.35,4598269.6874,72,36727,1,38.1332659,-120.6333214,367271
-13423819.7939,4600263.5295,73,36727,2,38.1473529,-120.588212,367272
-13423085.2854,4600240.7538,74,36727,3,38.147192,-120.5816138,367273
-13422375.2563,4600280.2328,75,36727,4,38.1474709,-120.5752355,367274
-13421670.0025,4600060.7875,76,36727,5,38.1459206,-120.5689001,367275
-13421111.6571,4598317.5234,77,36728,1,38.1336039,-120.5638844,367281
